最大值,59.4,@,No.1283,,,,,,
最小值,-2.0,@,No.2232,,,,,,
平均值,20.01,,,,,,,,
次数,2493,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
1,0.0,N,0.000,mm,OK,--,15:16:56,2024/3/1,
2,0.0,N,0.000,mm,OK,--,15:16:58,2024/3/1,
3,0.0,N,0.000,mm,OK,--,15:16:58,2024/3/1,
4,0.0,N,0.000,mm,OK,--,15:16:58,2024/3/1,
5,0.0,N,0.000,mm,OK,--,15:16:58,2024/3/1,
6,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
7,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
8,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
9,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
10,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
11,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
12,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
13,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
14,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
15,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
16,0.0,N,0.000,mm,OK,--,15:16:59,2024/3/1,
17,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
18,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
19,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
20,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
21,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
22,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
23,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
24,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
25,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
26,0.0,N,0.000,mm,OK,--,15:17:00,2024/3/1,
27,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
28,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
29,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
30,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
31,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
32,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
33,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
34,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
35,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
36,0.0,N,0.000,mm,OK,--,15:17:01,2024/3/1,
37,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
38,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
39,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
40,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
41,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
42,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
43,-0.1,N,0.000,mm,OK,--,15:17:02,2024/3/1,
