最大值,35.6,@,No.1258,,,,,,
最小值,-2.7,@,No.2213,,,,,,
平均值,12.71,,,,,,,,
次数,2494,,,,,,,,
NG次数,0,,,,,,,,
号码,力量,单位,位移,单位,合格判定,姿势,时间,日期,
1,0.0,N,0.000,mm,OK,--,20:55:58,2024/3/2,
2,0.0,N,0.000,mm,OK,--,20:55:58,2024/3/2,
3,-0.1,N,0.000,mm,OK,--,20:55:58,2024/3/2,
4,-0.1,N,0.000,mm,OK,--,20:55:58,2024/3/2,
5,-0.1,N,0.000,mm,OK,--,20:55:58,2024/3/2,
6,-0.1,N,0.000,mm,OK,--,20:55:58,2024/3/2,
7,-0.1,N,0.000,mm,OK,--,20:55:58,2024/3/2,
8,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
9,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
10,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
11,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
12,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
13,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
14,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
15,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
16,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
17,-0.1,N,0.000,mm,OK,--,20:55:59,2024/3/2,
18,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
19,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
20,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
21,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
22,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
23,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
24,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
25,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
26,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
27,-0.1,N,0.000,mm,OK,--,20:56:00,2024/3/2,
28,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
29,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
30,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
31,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
32,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
33,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
34,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
35,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
36,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
37,-0.2,N,0.000,mm,OK,--,20:56:01,2024/3/2,
38,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
39,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
40,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
41,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
42,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
43,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
44,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
45,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
46,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
47,-0.2,N,0.000,mm,OK,--,20:56:02,2024/3/2,
48,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
49,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
50,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
51,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
52,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
53,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
54,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
55,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
56,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
57,-0.2,N,0.000,mm,OK,--,20:56:03,2024/3/2,
